name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
ACTUAL_COST_G_PER_L,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
ACTUAL_COST_G_PER_L_PERCENT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
ACTUAL_COST_G_PER_L_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
ACTUAL_COST_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
PERCENT_COMPLETE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
PERCENT_COMPLETE_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
PERCENT_COMPLETE_MH_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
BILLED_MISCELLANEOUS_REVENUE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
EANED_CURRENT_BUDGET_AMOUNT,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
EARNED_CURRENT_ESTIMATE_AMOUNT,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
EARNED_MANHOURS,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
EARNED_MANHOURS_CE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
LEI,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
LEI_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MANHOURS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MH_G_PER_L,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MH_G_PER_L_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MHF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MISCELLANEOUS_AMOUNT_GAIN_LOSS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
PF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
PF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
QUANTITY,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
UNIT_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
UOM_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_ACTUAL_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_COST_G_PER_L_PERCENT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_COST_G_PER_L,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_COST_G_PER_L_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_COST_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_PERCENT_COMPLETE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_PERCENT_COMPLETE_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_PERCENT_COMPLETE_MH_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_BILLED_MISCELLANEOUS_REVENUE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_CF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_CF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
COMMITMENT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_EARNED_CB_AMOUNT,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
JTD_EARNED_CE_AMOUNT,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
JTD_EARNED_MANHOURS,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
JTD_EARNED_MH_CE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
JTD_LEI,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_LEI_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_MANHOURS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_MH_G_PER_L,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
